Mandarijnstraat 33,0,D,0,0,Benedenwoning,Uitstekend,€ 624.000 -690.000
Oeverwallaan 77,0,A,0,0,Woonhuis,none,€ 595.000 k.k.
Mandarijnstraat 33,0,D,0,0,Benedenwoning,,€ 624.000 - 690.000
IJmuidenstraat 7,0,0,0,0,"Eengezinswoning, Tussenwoning",none,€ 449.000 - 528.000
Seinpoststraat 104-A,0,B,0,0,Bovenwoning,none,€ 465.000 - 564.000
Ellertsveldlaan 97,0,A,0,0,"Eengezinswoning, 2-onder-1-kapwoning",none,€ 830.000 k.k.
Rode Leeuwstraat 29,0,B,0,0,Benedenwoning,none,€ 379.000 k.k.
Snoekbaarssingel 67,0,B,0,0,Galerijflat,none,€ 359.000 k.k.
Anthony Fokkersingel 82,0,A,0,0,"Herenhuis, Tussenwoning",,€ 689.000 k.k.
Van Zaeckstraat 27,0,G,0,0,"Bovenwoning, Souterrain",,€ 495.000 k.k.
Luchtenburglaan 13,0,A,0,0,"Eengezinswoning, Tussenwoning",none,€ 550.000 k.k.
Fraeylemastraat 7,0,A,0,0,"Eengezinswoning, Hoekwoning",none,€ 675.000 k.k.
Meppelrade 33,0,A,0,0,"Eengezinswoning, Tussenwoning",none,€ 510.000 k.k.
Kepplerstraat 197,0,D,0,0,"Bovenwoning, Dubbel bovenhuis",,€ 450.000 k.k.
Renswoudelaan 21,0,F,0,0,Benedenwoning,none,€ 299.000 k.k.
Van Neckstraat 79,0,F,0,0,"Bovenwoning, Dubbel bovenhuis",none,€ 652.000 - 720.000
Lau Mazirellaan 253,0,A,0,0,Eengezinswoning,none,€ 479.000 k.k.
Louis Davidsstraat 146,0,C,0,0,Portiekflat,none,€ 283.000 - 313.000
Vaillantlaan 620,0,B,0,0,"Portiekflat, Bel-etage",,€ 299.000 k.k.
Laan van Scheltema 25,0,A+,0,0,"Eengezinswoning, 2-onder-1-kapwoning",,€ 540.000 - 596.000
Esdoornstraat 14,0,G,0,0,Bovenwoning,none,€ 216.000 - 238.000
Esdoornstraat 16-B,0,F,0,0,"Bovenwoning, Bel-etage",none,€ 222.000 - 246.000
Esdoornstraat 18,0,E,0,0,Benedenwoning,none,€ 232.000 - 256.000
Esdoornstraat 18-A,0,E,0,0,Benedenwoning,none,€ 235.000 - 259.000
Esdoornstraat 18-C,0,E,0,0,Benedenwoning,none,€ 230.000 - 254.000
Esdoornstraat 14-A,0,G,0,0,"Bovenwoning, Bel-etage",none,€ 231.000 - 255.000
Thijssestraat 259,0,A,0,0,"Maisonnette, Dubbel bovenhuis",none,€ 319.500 k.k.
Fultonstraat 103,0,?,0,0,Bovenwoning,none,€ 375.000 k.k.
Schelfhoutstraat 8,0,D,0,0,"Eengezinswoning, Hoekwoning",none,€ 425.000 k.k.
Van Alkemadelaan 401,0,0,0,0,"Eengezinswoning, 2-onder-1-kapwoning",,€ 770.000 - 816.000
Zeesluisweg 166,0,E,0,0,Portiekflat,none,€ 275.000 k.k.
De Brink 380,0,A++++,0,0,"Galerijflat, Bel-etage",none,€ 249.000 k.k.
De Heemstraat 380,0,C,0,0,Benedenwoning,,€ 395.000 k.k.
De Constant Rebecquestraat 8,0,F,0,0,Bovenwoning,none,€ 339.000 k.k.
